id_venda,data_venda,id_cliente,cliente,segmento,cidade,estado,regiao,id_produto,produto,categoria,id_vendedor,vendedor,quantidade,preco_unitario,desconto_pct,custo_unitario
VDA0095,2025-01-04,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P008,Webcam HD,Acessórios,V005,Juliana Rocha,12,240.00,0.00,125.00
VDA0020,2025-01-06,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P009,Dock USB-C,Acessórios,V004,Rafael Martins,5,420.00,0.00,230.00
VDA0151,2025-01-08,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,4,420.00,0.00,230.00
VDA0277,2025-01-09,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,3,1100.00,0.00,720.00
VDA0064,2025-01-13,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P007,Headset Pro,Periféricos,V003,Beatriz Alves,1,350.00,0.15,190.00
VDA0067,2025-01-13,C010,Pará Sistemas,PME,Belém,PA,Norte,P004,Monitor 27,Monitores,V006,Marcos Silva,5,1450.00,0.05,1020.00
VDA0114,2025-01-15,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P006,Teclado Mecânico,Periféricos,V004,Rafael Martins,4,280.00,0.03,145.00
VDA0267,2025-01-15,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P004,Monitor 27,Monitores,V004,Rafael Martins,2,1450.00,0.00,1020.00
VDA0033,2025-01-17,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P002,Notebook Air 13,Informática,V001,Ana Souza,8,2900.00,0.00,2200.00
VDA0134,2025-01-17,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P005,Mouse Wireless,Periféricos,V004,Rafael Martins,2,120.00,0.10,55.00
VDA0192,2025-01-17,C016,Tocantins Agro,PME,Palmas,TO,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,5,120.00,0.00,55.00
VDA0282,2025-01-19,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,6,120.00,0.00,55.00
VDA0268,2025-01-20,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P003,Monitor 24,Monitores,V002,Carlos Lima,2,950.00,0.10,670.00
VDA0018,2025-01-25,C005,SulData,Corporativo,Curitiba,PR,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,10,2900.00,0.00,2200.00
VDA0057,2025-01-27,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,1,120.00,0.05,55.00
VDA0241,2025-01-29,C010,Pará Sistemas,PME,Belém,PA,Norte,P010,SSD 1TB,Armazenamento,V006,Marcos Silva,3,520.00,0.00,330.00
VDA0026,2025-01-30,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P004,Monitor 27,Monitores,V001,Ana Souza,2,1450.00,0.05,1020.00
VDA0242,2025-01-30,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P001,Notebook Pro 14,Informática,V004,Rafael Martins,3,3500.00,0.00,2650.00
VDA0137,2025-01-31,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P002,Notebook Air 13,Informática,V006,Marcos Silva,1,2900.00,0.03,2200.00
VDA0019,2025-02-02,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,3,520.00,0.08,330.00
VDA0202,2025-02-02,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,3,1100.00,0.10,720.00
VDA0009,2025-02-05,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,1,1100.00,0.00,720.00
VDA0165,2025-02-05,C016,Tocantins Agro,PME,Palmas,TO,Norte,P010,SSD 1TB,Armazenamento,V006,Marcos Silva,2,520.00,0.10,330.00
VDA0298,2025-02-07,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P003,Monitor 24,Monitores,V005,Juliana Rocha,3,950.00,0.12,670.00
VDA0133,2025-02-08,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P009,Dock USB-C,Acessórios,V005,Juliana Rocha,1,420.00,0.05,230.00
VDA0250,2025-02-11,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P006,Teclado Mecânico,Periféricos,V006,Marcos Silva,4,280.00,0.00,145.00
VDA0146,2025-02-15,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,2,240.00,0.03,125.00
VDA0166,2025-02-16,C010,Pará Sistemas,PME,Belém,PA,Norte,P012,Cadeira Office,Mobiliário,V006,Marcos Silva,3,1100.00,0.00,720.00
VDA0210,2025-02-18,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P007,Headset Pro,Periféricos,V004,Rafael Martins,2,350.00,0.03,190.00
VDA0249,2025-02-18,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P006,Teclado Mecânico,Periféricos,V002,Carlos Lima,4,280.00,0.05,145.00
VDA0212,2025-02-19,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P007,Headset Pro,Periféricos,V002,Carlos Lima,6,350.00,0.03,190.00
VDA0193,2025-02-20,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P006,Teclado Mecânico,Periféricos,V002,Carlos Lima,20,280.00,0.03,145.00
VDA0010,2025-02-21,C010,Pará Sistemas,PME,Belém,PA,Norte,P004,Monitor 27,Monitores,V006,Marcos Silva,3,1450.00,0.05,1020.00
VDA0263,2025-02-22,C016,Tocantins Agro,PME,Palmas,TO,Norte,P009,Dock USB-C,Acessórios,V006,Marcos Silva,6,420.00,0.05,230.00
VDA0287,2025-02-22,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P006,Teclado Mecânico,Periféricos,V003,Beatriz Alves,1,280.00,0.10,145.00
VDA0215,2025-02-23,C010,Pará Sistemas,PME,Belém,PA,Norte,P006,Teclado Mecânico,Periféricos,V006,Marcos Silva,4,280.00,0.00,145.00
VDA0055,2025-02-24,C005,SulData,Corporativo,Curitiba,PR,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,6,2900.00,0.00,2200.00
VDA0070,2025-02-25,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P001,Notebook Pro 14,Informática,V005,Juliana Rocha,4,3500.00,0.03,2650.00
VDA0106,2025-02-25,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P005,Mouse Wireless,Periféricos,V002,Carlos Lima,4,120.00,0.15,55.00
VDA0272,2025-02-26,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P002,Notebook Air 13,Informática,V005,Juliana Rocha,8,2900.00,0.05,2200.00
VDA0136,2025-02-28,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P007,Headset Pro,Periféricos,V005,Juliana Rocha,4,350.00,0.08,190.00
VDA0295,2025-02-28,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P004,Monitor 27,Monitores,V004,Rafael Martins,1,1450.00,0.00,1020.00
VDA0069,2025-03-01,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P001,Notebook Pro 14,Informática,V003,Beatriz Alves,10,3500.00,0.00,2650.00
VDA0189,2025-03-01,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P008,Webcam HD,Acessórios,V001,Ana Souza,1,240.00,0.12,125.00
VDA0296,2025-03-02,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P009,Dock USB-C,Acessórios,V001,Ana Souza,2,420.00,0.00,230.00
VDA0074,2025-03-05,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P011,HD Externo 2TB,Armazenamento,V004,Rafael Martins,6,610.00,0.03,390.00
VDA0138,2025-03-05,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P008,Webcam HD,Acessórios,V005,Juliana Rocha,3,240.00,0.03,125.00
VDA0125,2025-03-06,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,5,1100.00,0.10,720.00
VDA0061,2025-03-07,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P007,Headset Pro,Periféricos,V001,Ana Souza,1,350.00,0.03,190.00
VDA0098,2025-03-07,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,20,240.00,0.05,125.00
VDA0149,2025-03-09,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P009,Dock USB-C,Acessórios,V005,Juliana Rocha,12,420.00,0.05,230.00
VDA0016,2025-03-13,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P005,Mouse Wireless,Periféricos,V002,Carlos Lima,2,120.00,0.05,55.00
VDA0237,2025-03-16,C005,SulData,Corporativo,Curitiba,PR,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,2,2900.00,0.00,2200.00
VDA0084,2025-03-17,C016,Tocantins Agro,PME,Palmas,TO,Norte,P004,Monitor 27,Monitores,V006,Marcos Silva,5,1450.00,0.00,1020.00
VDA0111,2025-03-20,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,3,1100.00,0.10,720.00
